,JDGF,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,date,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,ma10,ma5,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-11-20 07:00:00+00:00,51.33,0.0,0.0,0.0,2937.16526156,4.71296344318,0.0,0.0,2017-11-20 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,54.73,54.73,0.0,0.0,0.0,[],2017-11-20 07:00:00+00:00,2017-11,2017-11-20 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,24,[],0.0
2017-11-21 07:00:00+00:00,52.28,0.0,0.0,0.0,5007.88018571,4.6988040585,0.0,0.0,2017-11-21 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,53.3566666667,53.3566666667,0.0,0.0,0.0,[],2017-11-21 07:00:00+00:00,2017-11,2017-11-21 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,25,[],0.0
2017-11-22 07:00:00+00:00,52.36,0.0,0.0,0.0,9689.46893755,4.85893655978,0.0,0.0,2017-11-22 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,52.4733333333,52.4733333333,0.0,0.0,0.0,[],2017-11-22 07:00:00+00:00,2017-11,2017-11-22 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,26,[],0.0
2017-11-23 07:00:00+00:00,49.93,0.0,0.0,0.0,16007.9993662,4.80252133221,0.0,0.0,2017-11-23 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.93,51.93,0.0,0.0,0.0,[],2017-11-23 07:00:00+00:00,2017-11,2017-11-23 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,27,[],0.0
2017-11-24 07:00:00+00:00,48.98,0.0,0.0,0.0,31955.033668,4.97758934853,0.0,0.0,2017-11-24 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.99,51.99,0.0,0.0,0.0,[],2017-11-24 07:00:00+00:00,2017-11,2017-11-24 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,28,[],0.0
2017-11-27 07:00:00+00:00,48.37,0.0,0.0,0.0,52878.4841675,4.91459832054,0.0,0.0,2017-11-27 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.5233333333,51.5233333333,0.0,0.0,0.0,[],2017-11-27 07:00:00+00:00,2017-11,2017-11-27 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,29,[],0.0
2017-11-28 07:00:00+00:00,49.47,0.0,0.0,0.0,97704.7638752,4.94087079798,0.0,0.0,2017-11-28 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,50.4233333333,50.4233333333,0.0,0.0,0.0,[],2017-11-28 07:00:00+00:00,2017-11,2017-11-28 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,30,[],0.0
2017-11-29 07:00:00+00:00,48.49,0.0,0.0,0.0,167899.12992,4.89787088622,0.0,0.0,2017-11-29 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,49.0933333333,49.0933333333,0.0,0.0,0.0,[],2017-11-29 07:00:00+00:00,2017-11,2017-11-29 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,31,[],0.0
2017-11-30 07:00:00+00:00,47.0,0.0,0.0,0.0,185294.728156,4.94895472497,0.0,0.0,2017-11-30 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,48.94,48.94,0.0,0.0,0.0,[],2017-11-30 07:00:00+00:00,2017-11,2017-11-30 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,32,[],0.0
2017-12-01 07:00:00+00:00,47.9,0.0,0.0,0.0,221771.846256,4.9395955642,0.0,0.0,2017-12-01 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,48.7766666667,48.7766666667,0.0,0.0,0.0,[],2017-12-01 07:00:00+00:00,2017-12,2017-12-01 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,33,[],0.0
2017-12-04 07:00:00+00:00,47.26,0.0,0.0,0.0,415074.622375,4.97693396434,0.0,0.0,2017-12-04 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,48.32,48.32,0.0,0.0,0.0,[],2017-12-04 07:00:00+00:00,2017-12,2017-12-04 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,34,[],0.0
2017-12-05 07:00:00+00:00,43.98,0.0,0.0,0.0,625522.076359,4.90328531306,0.0,0.0,2017-12-05 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,47.7966666667,47.7966666667,0.0,0.0,0.0,[],2017-12-05 07:00:00+00:00,2017-12,2017-12-05 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,35,[],0.0
